,longtitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,price,prediction
267,-122.19,37.77,52,2329,445.0,1144,417,3.5114,NEAR BAY,151200,155662.0
821,-122.06,37.63,12,6711,1374.0,3388,1289,3.8625,NEAR BAY,208900,216211.0
5669,-118.3,33.73,40,2582,606.0,1304,588,3.5694,NEAR OCEAN,276400,278375.0
4598,-118.28,34.05,44,968,384.0,1805,375,1.4801,<1H OCEAN,212500,207396.0
10588,-117.77,33.69,15,500,113.0,261,116,5.0631,<1H OCEAN,154000,179455.01
14045,-117.14,32.76,35,1785,493.0,965,506,2.0792,NEAR OCEAN,160000,154954.0
9173,-118.61,34.31,4,1949,458.0,868,398,5.0151,<1H OCEAN,285200,279200.01
4958,-118.29,34.01,42,814,223.0,511,188,2.3942,<1H OCEAN,123200,125595.0
1681,-122.36,38.03,32,2159,393.0,981,369,4.3173,NEAR BAY,175400,172756.0
9281,-122.61,38.09,18,6205,821.0,2311,756,6.9081,<1H OCEAN,368700,367734.03
14361,-117.22,32.75,34,6001,1111.0,2654,1072,4.5878,NEAR OCEAN,291000,279457.0
11114,-117.88,33.84,25,1781,349.0,918,378,3.9286,<1H OCEAN,262700,238856.0
12186,-117.34,33.71,10,2591,486.0,1255,425,3.1513,<1H OCEAN,154300,160869.0
769,-122.09,37.65,35,1184,200.0,572,194,4.7143,NEAR BAY,193800,200437.0
18025,-121.93,37.25,21,1354,289.0,639,273,4.5333,<1H OCEAN,234200,247565.0
1566,-121.96,37.74,2,200,20.0,25,9,15.0001,<1H OCEAN,350000,362274.09
6003,-117.77,34.08,27,5929,932.0,2817,828,6.0434,INLAND,214800,220530.0
6682,-118.09,34.15,49,1467,259.0,688,260,4.3452,INLAND,260100,277572.0
2314,-119.71,36.88,17,2236,315.0,992,312,6.9405,INLAND,165200,195437.0
1853,-124.21,41.77,17,3461,722.0,1947,647,2.5795,NEAR OCEAN,68400,84772.0
2599,-123.72,41.09,19,1970,431.0,1166,363,1.8208,<1H OCEAN,50000,55983.0
6566,-118.14,34.2,39,2569,426.0,1282,432,5.0953,INLAND,207400,239926.0
20019,-119.05,36.09,9,3297,568.0,1749,568,4.0217,INLAND,99200,96837.0
6681,-118.09,34.15,52,670,141.0,268,110,3.5568,INLAND,205000,223167.0
3799,-118.36,34.16,45,1755,335.0,822,342,5.1423,<1H OCEAN,322900,335124.03
4009,-118.57,34.17,31,1950,383.0,870,357,3.1875,<1H OCEAN,500001,409959.64
19387,-120.86,37.76,32,964,198.0,623,201,3.0917,INLAND,88900,100681.0
1147,-121.19,39.55,17,1483,284.0,481,211,1.4896,INLAND,83300,86137.0
4649,-118.31,34.06,14,1559,646.0,1639,567,1.9949,<1H OCEAN,380000,316232.0
15560,-117.06,33.09,11,7483,1276.0,3516,1261,4.0484,<1H OCEAN,262500,223708.0
164,-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,NEAR BAY,225000,236890.0
12437,-116.17,33.66,22,639,203.0,664,153,1.9306,INLAND,47500,55289.0
12269,-117.04,34.0,25,3750,781.0,1594,785,2.4167,INLAND,104900,104953.0
2402,-119.34,36.62,26,1922,339.0,1148,332,2.6058,INLAND,92200,89361.0
2101,-119.76,36.74,52,2137,448.0,1194,444,1.3029,INLAND,69100,65719.0
17455,-120.43,34.7,26,2353,389.0,1420,389,3.87,NEAR OCEAN,125800,142053.0
9318,-122.49,37.98,34,1256,178.0,460,174,6.4271,NEAR BAY,451700,420883.03
7385,-118.24,33.97,37,1212,314.0,1403,279,2.5536,<1H OCEAN,117200,115087.0
18811,-121.63,40.92,23,1922,411.0,872,350,2.2337,INLAND,64500,65623.0
1789,-122.36,37.93,17,1258,254.0,885,229,3.05,NEAR BAY,121600,129007.0
5034,-118.33,33.98,38,3063,796.0,2153,721,1.8472,<1H OCEAN,149100,144209.0
7164,-118.17,34.06,36,871,201.0,2862,181,2.1845,<1H OCEAN,123800,126605.0
11899,-117.35,33.95,28,1650,210.0,557,211,7.6632,INLAND,204800,255293.09
1401,-122.07,37.95,39,2199,388.0,1025,385,4.5893,NEAR BAY,190000,194178.0
17722,-121.79,37.33,18,3611,614.0,2381,642,5.6345,<1H OCEAN,231000,245643.0
9873,-121.83,36.61,27,2248,466.0,1644,453,3.2545,<1H OCEAN,131200,150263.0
1609,-122.07,37.86,23,1025,205.0,263,191,3.12,NEAR BAY,155000,177574.0
17028,-122.26,37.52,34,483,131.0,291,157,3.0833,NEAR OCEAN,256300,282169.0
4510,-118.19,34.04,45,963,234.0,1194,239,2.1806,<1H OCEAN,134900,140536.0
17486,-119.81,34.44,14,961,305.0,662,286,3.2115,NEAR OCEAN,206300,197048.0
7027,-118.09,33.96,36,1116,229.0,719,233,3.425,<1H OCEAN,163200,170628.0
794,-122.08,37.64,30,5267,1253.0,4065,1113,3.3479,NEAR BAY,182100,191934.0
1105,-121.58,39.83,16,4591,904.0,1904,812,2.2419,INLAND,93200,92690.0
3282,-122.79,39.09,20,1798,395.0,685,331,1.625,INLAND,66800,74101.0
7970,-118.2,33.88,40,1699,346.0,1188,329,4.2083,<1H OCEAN,147300,153557.0
11230,-117.95,33.82,35,1068,190.0,514,174,4.0735,<1H OCEAN,208700,213270.0
18364,-122.12,37.29,11,436,70.0,212,75,8.6196,<1H OCEAN,500001,467518.69
14818,-117.11,32.68,36,26,14.0,58,23,1.9107,NEAR OCEAN,125000,115305.0
5894,-118.32,34.16,49,1074,170.0,403,208,6.2547,<1H OCEAN,366700,371275.07
6138,-117.97,34.08,30,2227,474.0,1961,481,3.3261,INLAND,164100,155754.0
6235,-117.96,34.07,35,2819,529.0,1508,485,4.6118,<1H OCEAN,191700,193111.0
15270,-117.29,33.08,18,3225,515.0,1463,476,5.7787,NEAR OCEAN,346700,334435.07
18366,-122.08,37.24,21,427,63.0,182,70,11.3283,<1H OCEAN,500001,498406.97
2062,-119.73,36.62,35,2080,365.0,1026,333,3.5781,INLAND,92800,94006.0
5270,-118.55,34.03,35,9075,1858.0,3646,1724,6.0307,<1H OCEAN,500001,458866.67
15704,-122.43,37.79,52,3219,969.0,1152,830,4.2042,NEAR BAY,500001,493954.92
16445,-121.3,38.13,23,2864,504.0,1298,499,3.2303,INLAND,131800,135676.0
19708,-121.67,39.14,22,2264,390.0,1056,403,3.6111,INLAND,112300,115348.0
14371,-117.24,32.71,32,4164,701.0,1277,607,6.6661,NEAR OCEAN,500001,479404.77
11688,-118.0,33.88,18,2628,720.0,2276,649,2.735,<1H OCEAN,170800,174525.0
3021,-119.48,35.17,36,116,20.0,39,18,3.125,INLAND,37500,64486.01
6670,-118.11,34.16,52,2489,437.0,1101,438,4.2065,INLAND,320300,305347.0
7912,-118.08,33.89,33,2131,435.0,2045,426,4.0,<1H OCEAN,145700,153986.0
5014,-118.32,34.0,50,3250,693.0,2300,675,1.95,<1H OCEAN,112600,116777.0
14098,-117.11,32.75,18,1943,587.0,1329,522,1.7696,NEAR OCEAN,103100,102141.0
1054,-121.82,39.76,23,6010,1116.0,2710,1149,3.0068,INLAND,107300,108231.0
413,-122.28,37.89,52,2070,329.0,722,306,5.4171,NEAR BAY,292000,310155.02
8250,-118.17,33.78,23,3768,1261.0,3940,1098,1.9647,NEAR OCEAN,186200,176124.0
20237,-119.27,34.27,52,1577,343.0,836,335,3.5893,NEAR OCEAN,206600,229802.02
2863,-118.87,35.37,14,2458,433.0,1352,411,3.5441,INLAND,87000,85148.0
13056,-121.28,38.61,23,2547,504.0,1235,469,2.4722,INLAND,103300,110524.0
6811,-118.07,34.1,34,2253,522.0,1262,511,3.4375,<1H OCEAN,259800,237671.0
6576,-118.19,34.22,32,10626,1504.0,4353,1482,9.8413,<1H OCEAN,500001,498455.98
18757,-122.38,40.67,10,2281,444.0,1274,438,2.212,INLAND,65600,70284.0
10,-122.26,37.85,52,2202,434.0,910,402,3.2031,NEAR BAY,281500,264575.0
12633,-121.49,38.49,26,4629,832.0,2902,816,2.735,INLAND,74600,82518.0
1507,-122.05,37.93,15,7803,1603.0,2957,1546,4.45,NEAR BAY,184900,205415.0
598,-122.06,37.7,37,1893,310.0,821,315,4.6005,NEAR BAY,231600,231217.01
18169,-122.02,37.36,21,2471,677.0,1486,689,3.9038,<1H OCEAN,243800,251909.0
17510,-121.92,37.34,35,357,120.0,377,99,3.0139,<1H OCEAN,204200,204264.0
706,-122.04,37.65,10,8299,1326.0,3827,1288,6.2579,NEAR BAY,315500,300899.0
12383,-116.37,33.72,17,8626,1859.0,3497,1337,3.312,INLAND,121300,131557.0
18831,-123.41,41.6,23,1654,369.0,669,273,1.965,INLAND,65400,65199.0
9748,-121.62,36.69,11,4712,1098.0,5982,1105,2.5986,<1H OCEAN,135700,136644.0
11705,-120.1,39.17,33,1849,384.0,218,92,1.7083,INLAND,143800,125190.0
13514,-117.34,34.12,26,1008,164.0,568,196,3.3516,INLAND,105600,106555.0
20060,-119.26,35.87,24,1590,390.0,1686,372,1.6469,INLAND,47600,48693.0
6055,-117.86,33.99,10,17820,2812.0,8686,2666,6.3875,<1H OCEAN,310700,310837.0
4759,-118.34,34.04,37,1466,529.0,1835,500,1.7014,<1H OCEAN,123200,131795.0
1779,-122.35,37.94,47,1275,275.0,844,273,2.8967,NEAR BAY,95600,108579.0
8066,-118.17,33.83,46,1362,214.0,531,222,4.3125,NEAR OCEAN,290500,290586.01
8090,-118.21,33.81,40,1815,428.0,1807,413,3.0882,NEAR OCEAN,160700,168784.0
11831,-120.58,39.27,15,4126,903.0,723,266,3.0147,INLAND,118800,123166.0
3592,-118.47,34.24,19,2405,661.0,1855,621,2.3111,<1H OCEAN,255400,222382.0
59,-122.29,37.82,2,158,43.0,94,57,2.5625,NEAR BAY,60000,103621.02
17039,-122.25,37.49,44,4420,743.0,1790,735,6.142,NEAR OCEAN,394700,399811.06
12413,-116.22,33.74,26,4120,858.0,2918,815,3.3107,INLAND,69400,81114.0
16051,-122.48,37.76,52,2684,574.0,1395,549,3.9097,NEAR BAY,323800,327978.0
20321,-119.16,34.23,26,5444,1293.0,3700,1158,2.7556,NEAR OCEAN,213200,209929.0
9299,-122.59,38.04,25,3412,455.0,1238,406,8.3646,NEAR BAY,397300,401362.05
18012,-121.98,37.27,29,2658,484.0,1318,498,5.3561,<1H OCEAN,298900,292444.0
3613,-118.41,34.23,35,1026,195.0,753,185,4.5909,<1H OCEAN,179200,184200.0
14391,-117.24,32.74,45,1718,293.0,757,329,4.05,NEAR OCEAN,284900,298562.02
8503,-118.3,33.87,31,1398,261.0,823,263,5.0641,<1H OCEAN,234900,236574.0
520,-122.23,37.76,52,3037,516.0,1242,518,5.2128,NEAR BAY,289900,309690.03
11081,-117.84,33.8,34,2004,331.0,843,328,3.59,<1H OCEAN,230600,226691.0
20371,-118.9,34.17,14,4719,734.0,1880,731,5.3558,<1H OCEAN,313800,309282.01
14525,-117.13,32.92,16,2173,399.0,1460,393,4.2614,<1H OCEAN,169600,169968.0
8412,-118.35,33.94,38,1794,508.0,2188,454,2.6654,<1H OCEAN,142200,144325.0
15967,-122.4,37.72,40,1948,413.0,1434,396,3.0313,NEAR BAY,219100,225229.0
5647,-118.29,33.74,29,1503,411.0,1368,390,2.1473,NEAR OCEAN,195300,201183.0
9190,-118.35,34.32,52,102,29.0,54,32,1.9875,<1H OCEAN,191700,202446.01
10034,-121.08,39.21,17,3033,590.0,1319,583,2.4811,INLAND,111800,118276.0
7064,-118.03,33.94,30,2572,521.0,1564,501,3.4861,<1H OCEAN,177200,182039.0
14013,-117.18,32.74,39,3132,738.0,1200,690,2.5288,NEAR OCEAN,274000,248038.0
12506,-121.43,38.56,50,1533,288.0,532,257,2.5417,INLAND,125900,121281.0
14212,-117.06,32.68,36,3815,796.0,2945,728,2.0959,NEAR OCEAN,125000,124074.0
587,-122.11,37.71,36,4569,824.0,1950,819,4.65,NEAR BAY,206800,222188.01
12245,-116.97,33.74,20,3674,792.0,1498,758,2.2161,INLAND,76900,83678.0
10991,-117.81,33.73,19,4022,975.0,2334,954,3.0305,<1H OCEAN,140600,164456.0
20280,-119.19,34.19,35,2599,552.0,2726,543,3.2212,NEAR OCEAN,180500,180304.0
12329,-116.5,33.95,10,7249,1882.0,4274,1621,1.6983,INLAND,66600,77368.0
9947,-122.35,38.3,18,3735,557.0,1504,521,5.6304,NEAR BAY,243100,242018.0
561,-122.23,37.76,52,1705,246.0,658,253,5.75,NEAR BAY,306300,337442.07
19039,-121.99,38.36,33,146,31.0,75,31,3.5179,INLAND,84400,105525.0
20524,-121.55,38.55,10,6227,1164.0,2909,1077,4.106,INLAND,115900,140490.0
2408,-119.44,36.6,5,2353,608.0,2505,573,2.2863,INLAND,69200,73795.0
9270,-122.55,38.1,26,5188,892.0,2341,906,5.0029,NEAR BAY,255600,263590.0
14974,-117.01,32.72,12,2914,734.0,2104,703,2.3068,NEAR OCEAN,132300,131020.0
8895,-118.49,34.03,31,3155,808.0,1208,745,3.6769,<1H OCEAN,450000,433078.05
8154,-118.11,33.82,37,1987,347.0,1095,357,4.3203,<1H OCEAN,232800,227300.0
1483,-122.05,37.95,27,3513,791.0,1875,694,3.1838,NEAR BAY,182000,180389.0
12314,-116.76,33.46,6,1251,268.0,544,216,3.0694,INLAND,173400,168741.0
12092,-117.43,33.81,13,4770,718.0,1985,662,4.2273,INLAND,295200,250766.0
4734,-118.38,34.05,52,2053,480.0,900,417,3.0707,<1H OCEAN,417900,405477.07
11770,-121.32,38.74,14,1449,228.0,670,232,4.3897,INLAND,186300,174381.0
15084,-116.96,32.8,25,3421,803.0,1681,742,3.369,<1H OCEAN,134400,141313.0
12156,-117.17,33.66,2,7401,1187.0,2826,839,4.1386,<1H OCEAN,177300,195098.01
16749,-122.47,37.7,45,3290,693.0,2466,666,3.6588,NEAR OCEAN,238600,239205.0
10002,-121.07,39.04,9,2374,372.0,884,333,4.5042,INLAND,206400,199158.0
13295,-117.64,34.07,43,1970,379.0,1036,391,3.2083,INLAND,122800,130616.0
11887,-117.36,33.98,46,1680,453.0,1570,435,2.0436,INLAND,82300,88788.0
20173,-119.17,34.29,18,3932,724.0,1896,680,5.2953,NEAR OCEAN,279400,290111.05
20008,-119.06,36.15,20,1282,273.0,852,247,1.6354,INLAND,49000,50895.0
17097,-122.23,37.46,26,4670,1039.0,2103,933,4.4167,NEAR OCEAN,333800,341228.07
6807,-118.1,34.09,44,2352,484.0,1517,463,4.2833,<1H OCEAN,258000,238394.0
14660,-117.14,32.81,34,1748,294.0,800,294,4.4886,NEAR OCEAN,179100,174827.0
6518,-118.01,34.07,24,5684,1485.0,6626,1481,2.2559,INLAND,166800,160481.0
6820,-118.09,34.08,34,1513,384.0,986,336,2.6901,<1H OCEAN,235600,216932.0
3850,-118.46,34.18,35,1819,465.0,1336,419,3.4583,<1H OCEAN,253200,240181.0
6911,-117.95,33.97,33,1113,145.0,424,137,8.3474,<1H OCEAN,500001,481807.84
20430,-118.84,34.21,16,4975,949.0,2537,971,5.2361,<1H OCEAN,224700,237510.0
1416,-122.04,38.0,16,3077,733.0,1447,709,3.2484,NEAR BAY,91100,125755.0
1672,-122.2,38.04,31,3029,500.0,1236,487,5.6022,NEAR BAY,197000,238858.0
13100,-121.39,38.43,3,2696,384.0,990,316,5.4445,INLAND,237600,213938.0
2341,-119.68,36.81,13,2589,413.0,1356,435,5.0253,INLAND,106200,114084.0
16270,-121.24,37.95,36,361,63.0,169,62,3.7734,INLAND,63800,95967.0
7270,-118.23,33.98,25,986,310.0,1439,251,2.39,<1H OCEAN,183300,160669.0
2025,-119.74,36.71,17,5872,1250.0,5034,1224,2.1905,INLAND,61800,68605.0
13205,-117.7,34.05,24,2834,470.0,1815,471,4.7357,INLAND,162500,168928.0
16803,-122.42,37.66,28,3520,672.0,1746,602,4.9236,NEAR OCEAN,273500,272373.0
6834,-118.13,34.08,34,3848,991.0,2814,972,2.6716,<1H OCEAN,227100,215826.0
6380,-118.04,34.17,52,1885,401.0,764,373,4.0385,INLAND,265700,266640.0
2306,-119.77,36.83,16,2360,355.0,1034,359,5.0635,INLAND,108500,112494.0
18278,-122.07,37.35,35,1579,210.0,570,196,8.5888,<1H OCEAN,500001,497167.91
5868,-118.35,34.18,46,2711,491.0,1277,490,4.282,<1H OCEAN,224700,234676.0
14513,-117.15,32.91,10,2349,431.0,1598,435,4.8229,<1H OCEAN,183200,181827.0
1234,-120.33,38.26,13,2962,546.0,252,103,4.4063,INLAND,155800,151231.0
16228,-121.33,37.96,20,1727,386.0,730,342,2.5195,INLAND,92600,115497.0
7163,-118.17,34.04,46,705,167.0,655,149,3.5938,<1H OCEAN,141100,139356.0
13993,-116.99,34.89,24,2741,577.0,1551,522,3.474,INLAND,70500,72849.0
1977,-120.44,38.61,9,2598,548.0,796,297,3.5192,INLAND,98000,110547.0
16341,-121.33,38.03,10,629,140.0,635,146,2.2961,INLAND,126700,121684.0
7286,-118.24,33.98,45,173,42.0,230,57,3.0724,<1H OCEAN,110700,118610.0
17222,-119.71,34.44,41,2220,367.0,927,355,5.3184,<1H OCEAN,376000,366227.03
16617,-120.86,35.39,23,1664,355.0,629,279,2.7344,NEAR OCEAN,188300,201086.0
12517,-121.46,38.56,52,907,180.0,479,177,2.2125,INLAND,104000,102505.0
9550,-120.94,37.4,32,1175,208.0,774,222,3.0,INLAND,109400,112222.0
5087,-118.28,33.98,45,1720,416.0,1382,365,0.9337,<1H OCEAN,92300,97445.0
3746,-118.41,34.16,32,3060,505.0,1159,510,6.3703,<1H OCEAN,465800,451853.07
16443,-121.29,38.13,31,1008,212.0,453,195,2.3917,INLAND,113500,111227.0
15512,-117.11,33.19,15,3154,488.0,1656,429,5.0461,<1H OCEAN,222400,217610.0
19631,-120.88,37.53,18,239,39.0,92,36,5.3168,INLAND,175000,201209.0
5449,-118.42,34.0,31,1930,456.0,1002,410,3.9798,<1H OCEAN,458600,428096.03
